id,X,Y,M,V
2800,-266.37534,-38.782913,107.62115,0.4071576
2801,311.7497,-291.2251,88.740265,0.4029036
2802,-234.5225,129.18416,25.37103,0.37395477
2803,161.12535,278.33194,25.306477,0.39017746
2804,-167.6527,176.64687,121.66156,0.3981176
2805,233.04994,-136.46278,49.14783,0.5966605
2806,-213.43698,223.02863,111.27138,0.7876786
2807,-208.89111,-314.72626,35.120983,0.80630463
2808,-180.73975,112.96231,177.58246,0.34226698
2809,113.98732,377.36365,50.100067,0.87196654
2810,63.71183,102.07195,125.47388,0.9046338
2811,-225.9313,243.01408,87.19225,0.20100947
2812,217.5774,300.2815,100.27807,0.57522446
2813,-22.770317,-7.006047,51.18097,0.20296982
2814,-45.172234,-154.95691,46.37436,0.8647491
2815,-314.07065,-277.8705,102.384766,0.9371783
2816,17.303476,-245.70374,49.791958,0.5914934
2817,-40.18239,-163.86642,154.2757,0.3947063
2818,15.804248,274.7707,84.92969,0.78478134
2819,195.62738,-257.92773,137.96667,0.39412525
2820,232.97649,-374.6925,74.96539,0.7939952
2821,-319.65863,-23.645435,94.274414,0.20212361
2822,363.29303,164.86877,40.608707,0.40379116
2823,332.46802,-134.3205,108.90366,0.6228618
2824,295.3862,-322.7782,49.682823,0.89536905
2825,225.82964,-383.8927,55.91252,0.45365533
2826,205.20421,206.83604,61.122837,0.61153346
2827,223.93504,196.42325,126.741455,0.5492171
2828,337.09875,153.93317,152.94038,0.7935246
2829,-101.91415,389.4838,86.26671,0.40249383
2830,243.4137,-35.745358,56.590683,0.39880645
2831,-159.6706,138.93562,97.33142,0.9558078
2832,367.65085,-292.76715,40.7121,0.61603355
2833,-354.7473,-174.06468,136.04932,0.45510024
2834,206.45384,-313.35764,117.002785,0.9755551
2835,-154.82309,-5.80807,101.96489,0.59806067
2836,-384.96808,271.69708,148.59666,0.3947521
2837,107.50874,396.05777,93.65553,0.35837018
2838,-159.08723,-250.7669,146.03244,0.20170246
2839,-163.60889,321.05823,94.17768,0.5086881
2840,380.98578,238.49672,134.74135,0.5761426
2841,1.8541622,-295.79834,43.73409,0.59059983
2842,-114.59044,311.51236,162.93304,0.806112
2843,-400.7057,-282.16888,64.47401,0.40578958
2844,-326.59933,303.64868,100.41139,0.36655658
2845,117.91334,-164.93312,24.854572,0.2406334
2846,151.25352,-314.59955,62.41318,0.20468637
2847,279.63626,-206.43513,110.39743,0.61212057
2848,110.45595,59.20744,162.35252,0.52854514
2849,306.64493,11.548024,141.9861,0.20348664
2850,-325.0436,-10.743258,61.55062,0.26052466
2851,377.39822,-122.40911,92.17685,0.8052836
2852,-322.44275,-197.85156,64.188126,0.20496377
2853,365.09314,-293.50137,41.260754,0.5926851
2854,-387.78342,46.98703,109.91556,0.7845608
2855,-273.78052,255.61885,167.15617,0.59814584
2856,-318.87857,-277.5917,136.08757,0.40684506
2857,271.73804,-99.291534,118.89132,0.5471885
2858,-151.67966,165.56445,98.10171,0.8419724
2859,-36.525524,-143.90514,76.2555,0.59755296
2860,-349.26035,114.86806,35.829483,0.21618332
2861,354.48508,54.725292,127.671906,0.62134624
2862,66.725296,53.157715,98.79806,0.9548141
2863,-318.85394,320.65094,136.91035,0.6095756
2864,-278.81543,-47.405045,25.052608,0.5029991
2865,401.75385,-273.27927,71.94097,0.78894264
2866,172.64792,-84.37408,138.17816,0.5796222
2867,322.71735,187.34808,109.65471,0.39453527
2868,97.26667,-116.01728,58.528114,0.62455386
2869,37.48213,82.2334,25.104906,0.86110437
2870,-285.50983,-179.6737,162.69144,0.5915888
2871,-135.74866,19.159431,73.303444,0.20222867
2872,-332.6743,-70.90582,132.2561,0.23217547
2873,141.02943,-393.78137,147.23204,0.63265544
2874,82.09653,-116.58724,110.406815,0.38205644
2875,-190.34822,-305.79602,59.70941,0.9422094
2876,9.417914,-300.14972,128.70999,0.2548309
2877,205.52539,202.15063,82.92166,0.38922143
2878,-162.01508,-227.42842,25.008875,0.40345344
2879,282.45865,282.60696,79.73346,0.20214412
2880,403.9012,-246.97339,149.00832,0.4003787
2881,-321.9771,20.210724,118.30006,0.5886894
2882,-276.06903,236.87253,153.17299,0.91929805
2883,-204.85805,-27.473545,153.81288,0.6080672
2884,368.3737,191.09886,102.41343,0.59871525
2885,118.31847,-130.5798,113.50086,0.6419729
2886,190.26973,-305.75067,104.64884,0.39578155
2887,-246.60753,50.74823,143.60419,0.81591165
2888,-187.29465,187.61304,108.43682,0.3817071
2889,369.6008,-27.73892,125.31711,0.35001272
2890,289.03198,-39.51844,75.86473,0.8304127
2891,86.56658,223.4463,25.929668,0.6446252
2892,-27.36473,-28.309645,77.45135,0.4011595
2893,-312.1868,-307.78473,125.260544,0.22439745
2894,-224.47018,-319.97537,86.190765,0.59799343
2895,-193.9102,-327.53513,126.92993,0.38978735
2896,-280.04877,-30.744429,130.28035,0.70992875
2897,142.8311,-331.6496,144.53368,0.20392574
2898,97.749825,-318.3298,97.59469,0.8000137
2899,-162.23138,183.05023,65.32781,0.5670496
2900,326.11984,-175.04137,142.97412,0.6031145
2901,182.14064,144.16881,56.304024,0.4132769
2902,-381.7027,-296.24655,107.54706,0.6739848
2903,-350.9391,86.69655,122.92083,0.88377106
2904,-281.6239,368.97324,62.729084,0.8016334
2905,275.7169,-83.436195,112.72747,0.20300156
2906,-34.91035,-138.1225,84.86415,0.6117165
2907,-170.1096,-161.5078,105.19106,0.9269681
2908,71.15962,243.7104,88.74058,0.40920657
2909,28.9719,390.0127,76.92002,0.6225113
2910,-79.533585,-12.571007,158.62549,0.7758996
2911,28.75717,-298.3807,161.1569,0.3082606
2912,-303.44742,366.79422,146.36308,0.47131032
2913,24.768566,97.12024,144.88632,0.40137133
2914,-314.88052,297.98993,50.221725,0.22929917
2915,-276.36005,-286.02307,43.296204,0.286895
2916,-150.25488,-226.09044,64.88161,0.77697307
2917,-65.66064,-181.15273,68.561905,0.20128545
2918,99.310234,-347.7357,148.62059,0.888162
2919,130.64374,194.1516,145.18442,0.19928466
2920,178.24881,-292.0492,39.259323,0.22409739
2921,101.89796,-10.766499,124.593765,0.20159972
2922,-87.60255,-115.98445,154.23572,0.21248125
2923,-173.58443,389.00363,140.31236,0.27024776
2924,208.97305,-356.44592,96.22104,0.31238353
2925,-247.36372,189.90955,48.34334,0.396587
2926,-283.51254,318.06284,112.052704,0.8048929
2927,-268.87497,284.25116,89.78714,0.60400313
2928,-363.30252,-135.19843,123.21757,0.24570668
2929,8.014531,349.26062,108.23902,0.5014809
2930,-121.77347,-72.54799,84.68071,0.81982285
2931,-180.2526,343.006,24.98178,0.781058
2932,197.17624,322.84488,154.21104,0.54596364
2933,-19.210789,58.423767,162.35077,0.40589142
2934,284.2499,-216.98882,79.7055,0.20326
2935,-295.20847,-291.95782,85.823616,0.5561963
2936,-199.63379,-300.24658,73.95616,0.4024
2937,396.40936,-13.522356,44.00075,0.57546645
2938,193.28445,-212.76941,58.262527,0.8006333
2939,-4.518158,-307.55075,158.84277,0.5905428
2940,-270.1505,150.86256,68.31786,0.7475683
2941,-213.56633,-39.982224,25.133358,0.4076808
2942,-318.32526,320.24414,138.22118,0.56628823
2943,-354.80075,-216.55846,111.171646,0.80140823
2944,65.04897,228.10942,172.6815,0.41192663
2945,-221.96367,390.11432,127.409,0.8077167
2946,237.51498,-344.23553,130.10808,0.60834146
2947,29.591429,-334.93527,55.622005,0.7564855
2948,145.11465,271.55725,49.7729,0.1993102
2949,210.38667,348.93735,147.48482,0.5856729
2950,42.80589,126.40337,114.58566,0.54782456
2951,261.0749,383.0953,61.05826,0.7667759
2952,-16.19933,-346.91333,96.984535,0.91183865
2953,137.33717,38.734764,171.99757,0.8366517
2954,202.66254,-322.79764,26.417288,0.5911029
2955,-23.98279,216.6785,111.936005,0.6071717
2956,-50.857006,-354.0138,71.07548,0.22461037
2957,-226.47505,-390.28638,98.0583,0.25509116
2958,-369.30878,187.3072,138.46744,0.80957574
2959,-180.31952,-119.652084,77.00008,0.50771284
2960,-277.82254,-144.47412,98.58769,0.5808989
2961,-346.64056,68.69928,53.88128,0.77142334
2962,-195.04774,-207.00748,48.77683,0.5952162
2963,-10.038667,-366.26154,101.16098,0.5522576
2964,-23.285622,-85.818596,27.419514,0.58445454
2965,87.40563,173.67511,125.28181,0.78753364
2966,-238.41454,-240.47205,178.85994,0.8163903
2967,346.8732,292.02716,49.149723,0.5907738
2968,110.857185,389.36346,137.98384,0.24028102
2969,25.545393,270.57187,172.25996,0.25487995
2970,1.4287424,-183.25534,147.24039,0.89985955
2971,141.41872,-121.54831,55.440876,0.20121606
2972,80.35142,-185.40758,81.74453,0.8002088
2973,86.74806,-101.52081,156.25531,0.402534
2974,-119.44504,14.072635,114.24605,0.84432787
2975,323.87646,-101.06225,74.4953,0.3997376
2976,225.28293,-258.89594,43.691452,0.20240292
2977,-223.27785,-178.7762,104.49714,0.20438609
2978,75.12484,-104.79825,52.624878,0.3932166
2979,-1.8261955,202.00293,102.42315,0.80805886
2980,297.80377,-257.90662,147.27504,0.38958204
2981,297.29376,207.93074,67.36419,0.88409704
2982,-266.6785,344.7713,63.464928,0.57895654
2983,-96.451805,-350.49432,28.219666,0.809482
2984,249.67386,254.56316,31.674267,0.8810559
2985,4.501309,-232.22621,46.29937,0.20156227
2986,24.515976,28.64881,107.64839,0.5988233
2987,-147.65718,-97.079216,59.046104,0.40186214
2988,318.19955,-3.5987797,144.37543,0.3925751
2989,82.60475,-210.49973,25.067072,0.41324186
2990,265.95285,379.36475,128.23691,0.6181792
2991,-71.91642,-334.89792,25.903553,0.24668275
2992,-189.18187,121.66162,55.245667,0.20345202
2993,308.12604,-129.14174,109.894646,0.20803386
2994,-284.37708,329.4948,87.80319,0.5990111
2995,-393.8198,-258.1449,120.88643,0.3916511
2996,-66.74924,-368.53638,51.034782,0.3986417
2997,137.9528,-63.700367,43.064693,0.8521303
2998,-361.13977,69.71672,139.01521,0.49594998
2999,-200.93515,-145.08586,143.13936,0.8076769
3000,-283.08807,59.212387,71.6914,0.46111813
3001,-226.27905,-142.25761,137.92877,0.37722397
3002,362.00296,-332.36823,116.08123,0.59570277
3003,-15.551417,-210.09424,73.62554,0.39848086
3004,-322.2172,-369.15863,111.831665,0.6024864
3005,236.29878,308.49823,159.66263,0.204835
3006,342.19513,-190.07965,139.14809,0.58923566
3007,-153.42645,116.46406,31.024319,0.59716666
3008,-57.40442,106.54622,154.99184,0.5942626
3009,-183.06447,362.4524,138.15811,0.40234458
3010,-126.72632,278.06955,50.213997,0.20070688
3011,128.27322,9.9555,150.07504,0.95853364
3012,-348.7266,234.46382,152.31743,0.37077966
3013,206.88719,-274.32224,121.63422,0.2002362
3014,-406.1398,-196.15613,61.409466,0.8124346
3015,-249.19118,388.78836,93.56365,0.7984033
3016,-253.73012,336.4439,33.610203,0.7947601
3017,117.767876,-159.83524,123.12113,0.40031174
3018,40.229202,206.55844,53.41181,0.5786946
3019,49.466244,-52.44554,44.48608,0.591666
3020,-372.24313,144.90611,161.01627,0.81952894
3021,-322.33627,119.52832,113.77382,0.21036431
3022,-381.11133,183.05783,66.93342,0.4065773
3023,72.68094,-97.81959,103.05475,0.5759474
3024,-12.332936,-355.43625,59.68317,0.7944382
3025,319.0455,375.66006,52.167076,0.8198886
3026,-144.51276,395.51532,126.762566,0.60841465
3027,-109.65724,346.743,97.6594,0.6756879
3028,-318.89722,115.899605,148.81023,0.20400539
3029,158.64912,-21.664036,156.7699,0.20301151
3030,-231.90433,283.2209,76.788864,0.3967161
3031,398.9098,95.35008,67.216255,0.5950623
3032,-136.14647,-321.66693,126.93163,0.9671905
3033,208.75053,294.2423,163.6878,0.78488797
3034,-185.483,-164.11816,47.48039,0.88973933
3035,341.42886,3.8182604,152.3317,0.6111077
3036,-57.272156,382.48193,117.95704,0.81830627
3037,135.96457,-93.55592,157.85617,0.46919653
3038,-336.90134,-100.79763,133.42259,0.8590899
3039,-111.3071,304.98907,26.097998,0.7214925
3040,-281.20444,-107.28952,49.28893,0.73353183
3041,0.411014,-279.6628,127.30132,0.19938368
3042,-26.69493,191.33264,84.05605,0.60228807
3043,15.465163,88.875046,49.621017,0.40173012
3044,-92.887886,-0.33900416,45.9793,0.96618116
3045,-357.9928,246.50545,131.2521,0.7843467
3046,172.73279,302.83313,87.8922,0.63949054
3047,379.69824,-95.21823,155.74301,0.38600236
3048,160.7752,356.8426,60.86661,0.8590482
3049,73.14185,-221.47324,173.65494,0.5809336
3050,-338.80432,-36.056343,50.793423,0.89415103
3051,6.1421075,352.7009,35.76798,0.22748058
3052,-262.80865,-291.16586,153.68582,0.3166765
3053,-42.087605,-110.70093,124.95917,0.59035754
3054,-289.73053,203.52312,98.24198,0.44006646
3055,219.89299,53.787437,76.31734,0.52308965
3056,-153.52255,376.11328,118.56006,0.20679693
3057,367.11505,191.92613,62.548206,0.39091024
3058,37.487976,-202.00975,119.53959,0.60836595
3059,69.04338,-66.95902,87.35798,0.20097244
3060,207.93854,95.15331,120.96766,0.28336072
3061,-110.70411,-14.695541,74.86922,0.9633243
3062,-59.554394,-144.73386,83.02102,0.83456075
3063,315.6858,305.8631,128.29141,0.36385354
3064,275.83435,-61.1587,31.852592,0.20533358
3065,-360.43857,268.7869,87.364586,0.965392
3066,-47.135696,-367.27032,146.54861,0.61006504
3067,-25.580805,365.44583,40.316643,0.81602645
3068,32.921062,177.20563,25.281528,0.7957176
3069,-8.433893,-66.96685,24.965275,0.41897357
3070,-40.00941,18.448147,108.14274,0.20709363
3071,361.9398,-248.97702,102.23345,0.8035725
3072,240.87598,-206.70113,83.246025,0.85013723
3073,260.68622,221.82425,73.22571,0.9385327
3074,145.54602,-183.25719,93.8465,0.79547703
3075,183.47394,-83.43493,166.86504,0.6013745
3076,-368.31818,-327.56033,99.07918,0.28555053
3077,-26.870693,271.91138,176.9037,0.60319436
3078,-374.76953,-216.08752,85.388985,0.6465816
3079,100.26849,307.92072,29.306137,0.5986447
3080,126.890434,211.66344,136.1153,0.20140055
3081,-128.19588,96.32135,43.31121,0.5966679
3082,-55.502117,338.71893,94.066666,0.36914384
3083,377.72824,227.33537,49.053814,0.80595
3084,-151.853,21.146595,53.245197,0.4000036
3085,-50.453064,-210.60889,81.78404,0.8291413
3086,-329.81888,329.26337,40.85311,0.6863179
3087,198.22693,-336.69608,154.8641,0.46604407
3088,323.48022,185.02275,157.54753,0.35871488
3089,190.18457,359.70132,70.10014,0.5213157
3090,167.72803,-390.98438,132.54636,0.47589716
3091,264.7004,-181.29369,107.647644,0.39194113
3092,-153.97072,269.70114,136.39046,0.7203278
3093,-194.66803,-391.41214,95.80042,0.35592175
3094,-366.66644,167.59233,139.00026,0.60481775
3095,161.15698,139.42421,85.09959,0.7704527
3096,173.58746,-178.18958,82.64336,0.38717145
3097,-120.87891,-43.984238,121.79687,1.0031168
3098,222.4291,-393.27182,76.441315,0.7470476
3099,-264.30643,-141.13252,52.147728,0.40871575
3100,58.99177,388.1705,134.16997,0.821342
3101,198.37918,398.11014,128.58807,0.40042347
3102,-223.00874,-164.60872,75.490486,0.8539441
3103,298.54385,-46.09824,68.86206,0.203398
3104,249.86617,22.07027,115.61881,0.8825283
3105,345.05347,331.11212,120.20123,0.81980664
3106,-150.86191,261.08997,140.61504,0.21703117
3107,285.73477,-186.50311,157.85815,0.22430895
3108,269.22763,-201.15924,25.182755,0.7882655
3109,158.15833,61.88148,86.48059,0.95778054
3110,89.70062,-326.65668,47.112137,0.36653587
3111,41.842037,-31.359732,129.96904,0.80973417
3112,-67.22687,-390.79266,79.37189,0.8213198
3113,336.79138,-331.71625,95.40857,0.8291677
3114,-304.62585,297.45813,135.14703,0.20312524
3115,217.49675,-102.02784,136.84428,0.34087113
3116,6.026405,196.42923,168.62595,0.5935535
3117,139.9781,256.1293,106.54324,0.39313588
3118,-185.58504,269.1872,158.88777,0.39485165
3119,-345.9025,-48.43321,86.70341,0.35610846
3120,-240.80057,-114.030334,77.721695,0.6012617
3121,187.76505,88.33435,25.517897,0.5238272
3122,-203.11974,-396.49915,51.352627,0.6155103
3123,-3.256447,362.28683,129.41829,0.40246394
3124,-74.51304,-199.00092,25.522675,0.76502347
3125,294.3331,-58.266365,31.715992,0.71751165
3126,235.95226,-386.24747,127.08481,0.24103759
3127,-90.314835,-47.718193,135.83562,0.40713686
3128,-155.30788,-235.52153,121.1681,0.8032869
3129,386.33734,-285.85883,71.434074,0.5977375
3130,-255.905,223.60097,88.06853,0.7788952
3131,133.44832,116.37201,99.77573,0.20146987
3132,58.633915,289.64145,116.32507,0.95054895
3133,-35.007988,-109.39196,135.16473,0.25598362
3134,290.86682,264.07596,25.230793,0.80339855
3135,-270.95337,330.25418,98.046295,0.27844644
3136,-205.13757,37.435818,93.46246,0.6017368
3137,340.45898,-68.01507,114.61354,0.5741235
3138,-112.6878,265.33078,58.90463,0.8798543
3139,35.507206,0.84165907,96.1695,0.79948384
3140,283.27145,138.64566,24.951986,0.73191994
3141,48.156208,105.38326,99.15894,0.38920444
3142,0.36556426,-379.9528,106.330154,0.3732557
3143,-48.06551,35.951046,159.12782,0.8090683
3144,-300.8141,-372.13538,134.89943,0.5862384
3145,167.43727,147.04576,49.28926,0.77019113
3146,-201.94968,306.14792,29.2341,0.5907334
3147,208.76704,284.68442,111.65187,0.20048545
3148,-197.82173,271.61,25.939383,0.2088933
3149,379.8529,238.92416,75.861916,0.3827892
3150,-383.94516,-125.572174,41.928932,0.31791854
3151,-114.37843,336.1214,66.18433,0.20924076
3152,99.708145,382.18008,50.8588,0.6583268
3153,-367.8566,-108.2915,83.558975,0.40257362
3154,27.868229,334.31845,144.47461,0.3927335
3155,-229.12144,-320.555,146.01187,0.28166702
3156,325.19928,283.63153,32.25889,0.22477657
3157,279.03976,50.81031,138.9612,0.39821088
3158,-18.78065,-332.57925,48.833412,0.44290668
3159,-81.10203,-321.05756,111.367004,0.7962598
3160,-81.6512,-0.9954492,158.49562,0.9211381
3161,68.1544,-362.42355,72.53622,0.5194417
3162,320.97086,-156.29903,115.62201,0.80394536
3163,12.568655,170.66504,31.570192,0.26200432
3164,302.74417,43.01402,79.27514,0.20259058
3165,-310.7514,169.9116,128.48146,0.3879129
3166,-298.03323,336.27646,48.3322,0.40025002
3167,367.48438,-128.63902,92.06599,0.36174214
3168,-234.80809,376.4705,63.62059,0.7755319
3169,394.39136,-193.38567,50.66356,0.2774325
3170,241.14293,-215.37476,54.038967,0.38878947
3171,-303.90958,-397.79102,65.69081,0.21758771
3172,216.31454,1.0629674,89.6814,0.37113732
3173,-259.18723,-391.93484,121.42394,0.80407673
3174,-44.422867,-334.31393,166.71538,0.31736797
3175,316.57404,272.33704,152.11237,0.78825694
3176,-286.66272,-187.09387,51.60764,0.9216359
3177,186.73438,-248.08626,149.51268,0.5953945
3178,110.838,14.305338,38.075703,0.7235456
3179,281.6543,53.164417,113.53771,0.59296423
3180,-333.7099,168.03044,25.536808,0.81004494
3181,-379.2999,270.23746,60.659245,0.7923962
3182,-64.36568,-31.500057,109.87908,0.38492125
3183,-144.48677,-158.58742,48.838367,0.34568387
3184,-239.50237,-297.0525,25.731876,0.72575957
3185,-369.8915,232.81912,48.75726,0.8510474
3186,-223.7765,-133.52005,140.40039,0.44648224
3187,-95.87436,95.48504,126.41923,0.78228664
3188,-93.34362,-254.8819,67.8345,0.2017182
3189,30.035835,342.26758,26.05687,0.47525454
3190,222.29527,81.27101,25.327528,0.58721036
3191,-51.543297,-126.11067,53.054394,0.49552098
3192,193.24498,333.9498,129.58575,0.792494
3193,-138.29758,232.80377,138.84102,0.93055475
3194,256.81778,112.28929,161.86746,0.5975425
3195,198.61081,137.7859,91.84676,0.59462273
3196,229.15402,239.50839,50.159184,0.19881548
3197,-94.310036,-297.23395,70.40723,0.60415727
3198,-366.12238,207.43033,74.1629,0.5978862
3199,372.51205,284.0661,156.99486,0.58774626
3200,-186.8618,-111.88598,49.41454,0.7143997
3201,357.36743,-184.81683,119.29048,0.23841654
3202,-217.20859,-405.08792,104.15723,0.44874448
3203,-221.56076,213.21872,50.047455,0.6342009
3204,0.5726263,-94.30508,161.95596,0.59926724
3205,39.996346,-369.6607,145.38713,0.41497877
3206,-217.54787,-227.34071,103.4204,0.8019267
3207,-145.87877,343.99762,96.9242,0.9358866
3208,353.59906,-168.60907,133.48582,0.809261
3209,-285.45993,-20.461365,49.767986,0.59544075
3210,150.29831,98.17826,123.1115,0.78382224
3211,160.8009,40.274292,92.51325,0.70795625
3212,-390.3777,-10.220949,47.407227,0.7835215
3213,79.21695,27.38066,130.45303,0.39327353
3214,-177.41736,-227.42435,24.910233,0.31464124
3215,-54.19453,353.90634,66.17289,0.41577587
3216,68.93369,-398.3142,78.49487,0.6035104
3217,68.1948,374.54004,145.0744,0.7545168
3218,326.28015,-69.53039,36.02019,0.78106976
3219,104.345634,-180.526,63.444145,0.56202424
3220,-183.81963,-254.24619,164.03767,0.41243115
3221,-352.32532,143.9619,164.68881,0.41055036
3222,273.166,319.68396,153.92484,0.8587994
3223,157.67387,243.95076,117.896255,0.6183846
3224,200.39233,-270.5882,176.3164,0.778691
3225,220.36005,-369.79126,38.863174,0.7759386
3226,87.961395,276.03796,116.618164,0.4065195
3227,70.263725,-338.92508,137.64761,0.8103162
3228,161.04092,231.13054,149.34988,0.9953541
3229,219.3049,-146.11678,110.77744,0.79252726
3230,331.78845,69.689575,65.541374,0.77823085
3231,320.40628,332.66675,96.427345,0.4229933
3232,126.602585,-126.33676,86.09915,0.20815745
3233,-170.18364,157.95679,77.235176,0.40051633
3234,-316.15045,-296.23886,57.6678,0.37921003
3235,-354.06824,313.60583,42.72587,0.52847785
3236,118.71034,-116.43417,136.17378,0.92036605
3237,148.9977,65.329895,170.64713,0.31589457
3238,61.425426,-245.68996,46.153877,0.91529405
3239,-280.5758,292.22925,160.65161,0.7472089
3240,-314.8326,-304.20908,35.602802,0.8673255
3241,327.63455,225.37134,81.88223,0.76872104
3242,-379.47064,-146.69904,62.652164,0.6015349
3243,27.40874,309.1114,133.24188,0.96781963
3244,-79.25921,-13.053562,146.83342,0.5919924
3245,216.8103,-361.29495,111.74019,0.7551152
3246,-65.45094,188.96812,75.43964,0.39227226
3247,-400.10663,-86.84046,106.26433,0.5939954
3248,291.19153,-333.84158,127.993095,0.82182044
3249,-312.9299,95.19213,80.75206,0.88312954
3250,378.52142,24.429777,124.706696,0.8127854
3251,107.365036,247.04356,79.90446,0.7972409
3252,27.553873,-84.24106,49.35463,0.20626217
3253,-57.49682,119.21554,49.653244,0.6451656
3254,279.18597,-167.55678,54.823555,0.20203188
3255,-241.05505,-353.754,86.73124,0.81332475
3256,194.00864,-304.28397,56.059578,0.6361108
3257,333.06607,31.846577,71.310905,0.91140723
3258,374.20593,174.93987,135.30006,0.87331945
3259,258.15363,-232.2644,162.25424,0.65439963
3260,-271.08298,-364.1293,156.09245,0.5819806
3261,-180.83246,243.31825,132.38919,0.580017
3262,352.09824,55.921104,82.54867,0.39608338
3263,31.136084,-149.45735,104.657814,0.940941
3264,80.03319,321.49088,150.71373,0.8572919
3265,-344.14447,71.44537,164.44965,0.59682184
3266,-350.34552,105.544014,61.232574,0.53282666
3267,-128.32013,-189.54938,150.99706,0.8234324
3268,-306.84262,-69.53139,119.87096,0.8776352
3269,-156.39015,-179.67581,144.87349,0.6050501
3270,383.87637,124.570786,140.27031,0.5889771
3271,271.98703,373.81702,133.00021,0.38717404
3272,-237.23451,-376.49704,49.34874,0.4050808
3273,-157.07378,-68.0429,155.81374,0.20274773
3274,-208.42126,-282.85333,122.587746,0.51855344
3275,30.945349,231.26933,85.069725,0.94597894
3276,162.14107,282.85184,73.07756,0.50055546
3277,19.263329,268.83588,155.58755,0.57575357
3278,79.86649,-273.54907,99.9284,0.40004408
3279,267.87183,189.95708,114.24368,0.82903254
3280,250.48904,-69.299576,25.059216,0.41547525
3281,387.82834,-302.32233,87.41758,0.60044014
3282,380.97327,-132.18707,70.378456,0.48805764
3283,-357.6227,170.86229,72.56183,0.23805873
3284,335.93878,222.73543,92.37249,0.68170106
3285,-23.852917,-56.147,25.33813,0.39618814
3286,-333.8781,-188.83961,124.80977,0.5933901
3287,222.85275,30.188482,106.703735,0.45725167
3288,328.9947,349.62103,99.59573,0.63602436
3289,298.21518,-361.94458,128.49055,0.35522214
3290,67.91887,65.8662,71.84422,0.6219441
3291,61.33257,367.3497,65.90799,0.25188497
3292,217.8842,-166.05768,25.17082,0.4997272
3293,-105.32714,350.60733,58.03212,0.6213897
3294,293.9789,330.18958,148.63673,0.39248493
3295,-211.23767,-252.65448,132.10298,0.614283
