id,X,Y,M,V
2800,-257.43054,-53.20075,105.2794,0.40783057
2801,312.42688,-273.11594,84.47324,0.40358305
2802,-239.09264,124.15024,27.094912,0.3848241
2803,162.08165,263.27753,24.378265,0.3914462
2804,-149.34503,192.22336,124.41013,0.4045475
2805,254.9167,-144.16217,46.291664,0.5924701
2806,-194.10567,229.93356,112.66271,0.811128
2807,-209.9021,-313.94604,34.69137,0.7706638
2808,-161.42522,112.745705,177.3147,0.36531806
2809,105.12961,366.0776,48.697247,0.84360653
2810,61.12195,103.63362,114.813965,0.91056657
2811,-210.30023,250.72064,86.576904,0.20156111
2812,219.90431,314.91446,99.373184,0.5391704
2813,-19.151367,-4.8996615,46.82828,0.20874935
2814,-45.672787,-152.58331,36.41172,0.8498084
2815,-319.18616,-263.07443,105.93875,0.8841079
2816,14.568454,-233.27608,46.56077,0.5972072
2817,-59.29183,-164.60889,168.57027,0.39067277
2818,15.997428,254.5801,73.64481,0.7250865
2819,190.18886,-267.83456,138.90549,0.40425617
2820,239.46605,-363.16254,76.33948,0.81735086
2821,-310.0657,-27.54366,90.417755,0.20380683
2822,354.72952,170.76404,39.2959,0.39807847
2823,345.93073,-126.607155,116.44742,0.6623343
2824,308.17444,-322.58664,48.63777,0.9162473
2825,223.91325,-375.07953,54.474983,0.45484987
2826,196.02733,214.465,57.853203,0.6076273
2827,212.27367,193.13812,130.24821,0.50133973
2828,340.316,157.74498,161.71703,0.81723547
2829,-99.22839,398.81122,88.15384,0.4090431
2830,245.59796,-30.688179,55.934128,0.39624366
2831,-148.00424,135.53345,91.909744,0.91545564
2832,355.16525,-286.00104,40.367813,0.5909454
2833,-375.74844,-198.82794,134.67908,0.46780422
2834,216.33453,-304.96844,124.54317,0.9254264
2835,-160.97551,-4.392701,101.9435,0.60659426
2836,-396.60095,282.4637,143.4214,0.3963147
2837,109.539505,396.4609,94.43756,0.36527744
2838,-151.52135,-271.1986,144.95895,0.20308083
2839,-140.86523,325.685,93.84206,0.47041446
2840,383.82507,236.95734,137.475,0.4661632
2841,2.787677,-282.88232,38.391273,0.6147207
2842,-102.45686,313.42126,169.74359,0.833705
2843,-394.62888,-286.0218,60.000492,0.4039301
2844,-330.29608,304.76926,100.9092,0.3610652
2845,133.32715,-161.07925,24.32699,0.25624683
2846,136.98154,-314.9002,64.12092,0.20191084
2847,288.3346,-211.29016,100.304184,0.6541762
2848,113.525055,60.710106,162.975,0.47480568
2849,287.27875,11.747116,150.3443,0.20234895
2850,-318.89514,-21.77306,58.696526,0.31404456
2851,382.4134,-110.37309,92.89565,0.81600326
2852,-351.28888,-200.93954,61.457043,0.20934531
2853,374.50995,-285.97894,38.568195,0.5082916
2854,-393.61218,30.696787,115.31404,0.798419
2855,-264.12543,260.78772,170.014,0.5881656
2856,-334.0709,-267.9706,144.58397,0.4167646
2857,274.24152,-111.61335,112.31174,0.5635466
2858,-137.83452,173.33376,96.33859,0.8330827
2859,-42.128864,-140.56764,80.17237,0.6165688
2860,-334.05835,114.94421,34.633915,0.22667867
2861,370.07028,70.79605,129.64688,0.60911065
2862,69.67306,46.03085,94.80325,0.9039915
2863,-323.25482,325.27258,132.19043,0.60157907
2864,-287.98868,-69.72183,24.351536,0.44738165
2865,403.77127,-275.8559,65.10711,0.81358296
2866,173.16824,-85.95303,139.1042,0.5406978
2867,326.92764,178.1485,109.122826,0.40515554
2868,105.35756,-108.5792,59.41494,0.6433655
2869,22.799984,97.36686,24.39382,0.81092274
2870,-286.82864,-183.11403,168.2289,0.6174159
2871,-136.69061,15.265065,74.84772,0.20208755
2872,-325.60287,-75.95585,139.8214,0.27744794
2873,133.23396,-396.21118,153.61458,0.61559725
2874,88.959435,-109.33058,113.479675,0.39567274
2875,-143.75587,-313.19476,62.626263,0.9613136
2876,10.418539,-296.13043,132.82863,0.3171428
2877,194.18135,212.54695,79.42538,0.38569123
2878,-138.9505,-222.65076,24.36966,0.42429805
2879,285.51462,286.4787,75.3156,0.20062208
2880,392.20267,-238.65796,141.80885,0.40684214
2881,-307.46863,17.076906,115.01821,0.59966874
2882,-265.70676,235.69156,148.71022,0.88319016
2883,-205.83443,-25.814806,155.93703,0.62314945
2884,370.87088,190.67036,106.62935,0.6219976
2885,122.39366,-123.14336,122.15328,0.67398685
2886,188.40074,-299.43024,102.53681,0.42457604
2887,-235.21577,47.638153,148.54344,0.83453727
2888,-169.4103,205.40701,109.622246,0.3786271
2889,347.81918,-15.580714,118.16556,0.38654613
2890,305.30377,-46.379913,73.55142,0.8601349
2891,92.06679,213.27348,24.916534,0.62761474
2892,-25.287954,-22.877346,78.29722,0.39389095
2893,-313.0458,-311.9677,128.84865,0.23541339
2894,-238.19507,-312.42432,86.84776,0.60538805
2895,-153.44275,-334.0772,133.5475,0.3947567
2896,-275.69934,-42.099926,129.78311,0.7522821
2897,158.60548,-347.87717,154.22331,0.22369707
2898,105.919106,-309.32507,102.233025,0.8569546
2899,-147.88951,202.27025,60.212685,0.5322923
2900,322.938,-169.7379,152.21094,0.60377866
2901,170.77069,150.95891,51.359135,0.40781948
2902,-377.12967,-302.92105,109.595955,0.66774666
2903,-323.08984,75.23889,123.59904,0.8736549
2904,-270.4339,369.9718,70.05389,0.80998224
2905,262.88177,-97.49477,109.123474,0.20162503
2906,-30.083445,-129.31882,84.76263,0.60719407
2907,-156.64053,-177.77888,113.64661,0.9350904
2908,64.70534,247.80696,89.028404,0.43412644
2909,24.928051,369.5038,79.054375,0.6344558
2910,-64.28178,-11.8628645,166.16751,0.8293249
2911,48.62985,-292.88187,169.33182,0.34506083
2912,-292.35654,370.73663,149.36708,0.4297887
2913,33.68178,100.02783,150.77751,0.39154324
2914,-325.7333,302.12976,49.27925,0.27336457
2915,-275.5725,-279.28735,42.647205,0.31266424
2916,-138.92206,-231.59683,63.07653,0.7800003
2917,-83.82759,-180.59283,72.138145,0.20283857
2918,125.00662,-352.5671,155.22392,0.8496302
2919,130.50255,195.16348,147.19872,0.19671263
2920,140.7193,-295.0245,36.455154,0.27845
2921,104.4199,-1.8869538,128.2799,0.19971058
2922,-88.0653,-109.8269,160.80942,0.2571887
2923,-169.21263,382.4114,139.46037,0.3314248
2924,183.06847,-365.6829,95.26413,0.3705454
2925,-235.58496,176.20532,44.870308,0.3954263
2926,-301.6002,326.51413,111.334236,0.80107754
2927,-269.41116,305.0295,86.774315,0.6036481
2928,-358.60544,-141.09885,117.50612,0.28584412
2929,13.704966,337.7541,106.00814,0.52450556
2930,-103.76404,-77.72178,86.89539,0.7986036
2931,-152.75296,323.13693,24.456503,0.78356284
2932,164.74948,326.02887,157.02,0.5838115
2933,-11.396541,60.13835,176.9457,0.38994938
2934,291.78442,-223.86269,76.81596,0.2047397
2935,-292.59375,-280.25366,85.6109,0.5599778
2936,-190.66843,-300.3373,71.04551,0.3954535
2937,380.5557,-10.377721,36.674873,0.54028213
2938,181.32504,-203.29993,59.72558,0.80654854
2939,-7.4148264,-306.4194,168.74014,0.5989329
2940,-256.58923,134.51645,64.42211,0.69829094
2941,-220.63708,-52.451717,24.102608,0.40732223
2942,-323.47662,325.39,133.43105,0.5154261
2943,-372.44943,-214.81898,120.31873,0.78865117
2944,56.37418,238.85803,177.77718,0.45685434
2945,-236.1889,402.01437,128.36255,0.8032457
2946,257.947,-340.9499,130.70995,0.6239198
2947,32.15936,-315.1291,52.64813,0.7843987
2948,149.30899,267.6443,46.084103,0.20219399
2949,186.68703,362.34686,154.80031,0.582182
2950,50.082447,130.73169,119.186165,0.55874646
2951,243.03516,388.97708,64.680405,0.66564906
2952,-22.621382,-343.31906,103.8264,0.8637544
2953,136.15207,47.514942,173.4702,0.8101342
2954,192.31818,-318.12503,28.117197,0.56943375
2955,-29.55638,210.49446,102.633316,0.6061355
2956,-37.084763,-354.08847,73.10038,0.26486656
2957,-197.80428,-379.9489,99.54005,0.3552787
2958,-378.40485,194.76752,145.66072,0.80584705
2959,-168.7182,-129.9306,77.81869,0.44516978
2960,-293.60086,-148.21873,101.08112,0.6088358
2961,-341.1974,52.483986,54.18292,0.7435314
2962,-187.2087,-208.11462,49.755234,0.6080229
2963,6.406852,-365.4696,103.344635,0.58416337
2964,-20.195566,-74.55069,24.32689,0.6088919
2965,92.55301,184.56383,131.14624,0.81904536
2966,-242.17314,-235.77242,185.3565,0.8139223
2967,343.4764,267.44455,47.53149,0.6072804
2968,104.59479,381.01376,141.16705,0.28129944
2969,15.896928,276.99277,171.67648,0.2884032
2970,2.692942,-186.72687,153.5784,0.8425658
2971,156.9086,-121.88545,55.652225,0.20223004
2972,91.66829,-169.90884,83.22358,0.80496114
2973,92.62321,-100.0564,163.28127,0.39726892
2974,-116.347664,11.9621315,119.4623,0.86971843
2975,342.7315,-106.702835,79.13927,0.3939312
2976,243.45694,-253.39313,40.157642,0.20881628
2977,-230.0823,-172.96487,105.146736,0.20390731
2978,74.30358,-99.81946,51.562866,0.3964477
2979,0.6795783,214.07568,103.55763,0.8104543
2980,311.87146,-248.40381,152.65114,0.40736458
2981,292.45886,209.4996,66.42601,0.8837473
2982,-257.10437,350.20966,66.274635,0.52686554
2983,-117.042854,-344.53552,32.932175,0.8231957
2984,240.03877,275.44925,32.361885,0.9002783
2985,0.24948603,-223.01208,41.55282,0.20481129
2986,24.224936,20.851437,100.31198,0.61622906
2987,-150.9593,-105.74125,61.120438,0.3995993
2988,317.55707,-7.586037,141.1888,0.40540037
