id,X,Y,M,V
2800,-257.6198,-42.25227,108.60369,0.404653
2801,323.5937,-280.60294,87.048134,0.40922832
2802,-234.49141,127.46614,27.937683,0.38920665
2803,158.4059,276.6973,26.56379,0.394277
2804,-165.59874,193.32959,127.23783,0.41083822
2805,236.75485,-138.44398,46.55279,0.5733316
2806,-209.52563,246.73434,112.03115,0.7995468
2807,-216.33502,-311.35406,38.638515,0.7886213
2808,-179.9578,115.71017,174.07426,0.34667966
2809,116.21569,381.5388,49.590874,0.8243127
2810,62.765934,105.604706,125.8324,0.89083976
2811,-225.83858,264.74286,87.879135,0.19907913
2812,217.80836,310.0387,101.667435,0.5521956
2813,-20.044905,-4.12264,50.175186,0.20268062
2814,-36.90154,-145.78801,43.280308,0.8554707
2815,-319.2485,-266.08725,107.1039,0.9514131
2816,11.03531,-236.015,49.05562,0.6056926
2817,-60.075584,-157.74713,153.82976,0.40086377
2818,23.470772,268.82452,77.8988,0.7336721
2819,189.36436,-259.12552,138.80478,0.3902516
2820,237.68127,-365.70752,81.547554,0.7977094
2821,-309.43027,-18.29835,91.83532,0.19856155
2822,343.52182,158.19818,40.702698,0.398951
2823,332.58887,-125.78872,108.69294,0.6936194
2824,293.70044,-315.1856,49.72131,0.9744773
2825,230.77829,-375.36685,54.64603,0.4832303
2826,211.6036,211.9016,59.73968,0.6234736
2827,235.66608,195.74721,133.17114,0.5099697
2828,344.60004,150.27786,150.41951,0.8005692
2829,-107.01939,403.88028,88.39394,0.4041372
2830,247.57753,-38.978584,56.2264,0.39586562
2831,-151.29454,155.50276,97.41092,0.95874363
2832,339.4592,-284.09735,46.144653,0.6044629
2833,-357.28537,-172.27457,140.80157,0.45247498
2834,214.06874,-310.9202,122.106255,0.9844749
2835,-153.50697,-6.2012105,100.20762,0.61467564
2836,-387.98065,279.14462,143.61539,0.3992643
2837,112.232185,397.61017,92.49139,0.3584394
2838,-151.19453,-259.78372,143.34288,0.20253618
2839,-150.28555,326.7495,95.36707,0.5018708
2840,377.80576,243.56416,133.61073,0.53411835
2841,-1.4517632,-276.44608,44.897606,0.5910072
2842,-107.116165,312.25803,162.94104,0.8100331
2843,-391.03754,-289.98834,61.712048,0.4009222
2844,-349.2915,304.4391,100.00527,0.36533952
2845,127.85911,-157.18605,25.290277,0.26628053
2846,146.17183,-317.52835,60.741127,0.19931082
2847,284.38803,-201.08792,110.34913,0.7131368
2848,114.94563,53.134155,158.60881,0.50238353
2849,314.77966,18.018463,138.02792,0.19604056
2850,-317.77518,-14.011653,62.553493,0.316329
2851,376.56323,-120.06138,94.91889,0.8085127
2852,-333.0578,-190.78816,65.29917,0.20978196
2853,351.31873,-284.7003,44.398796,0.5484652
2854,-395.74457,41.024723,117.94381,0.7919296
2855,-292.73917,261.7061,168.42184,0.61761177
2856,-328.87326,-276.21957,139.64375,0.41699708
2857,271.10468,-104.96465,121.612144,0.57659805
2858,-152.7381,172.14362,99.653496,0.79532236
2859,-36.35577,-134.33472,79.65554,0.60440165
2860,-338.69162,121.42972,37.797443,0.23529042
2861,374.0388,56.234657,132.2219,0.6395345
2862,70.54847,49.18984,93.759186,0.9507967
2863,-319.16833,329.47012,138.58885,0.60346967
2864,-290.1871,-52.230564,25.664984,0.42550814
2865,396.17447,-272.4081,70.68739,0.8079852
2866,166.45207,-85.08713,139.48967,0.55377704
2867,317.21646,193.92267,114.76743,0.40067843
2868,99.660385,-107.78826,59.986267,0.6320797
2869,40.365147,78.32232,25.712784,0.8155688
2870,-285.48044,-175.28354,165.21005,0.5977407
2871,-137.97128,11.716314,73.565506,0.19887306
2872,-338.66116,-76.09427,128.93597,0.23924774
2873,145.3951,-389.6847,146.611,0.6653078
2874,90.07822,-110.95121,112.981804,0.38389716
2875,-179.07637,-309.3865,61.868782,0.9914511
2876,1.4326191,-296.61118,128.94,0.29937178
2877,209.91966,210.2279,81.73498,0.38898382
2878,-153.38239,-228.6473,25.784733,0.41418028
2879,303.5918,290.5863,76.71827,0.19833705
2880,392.87692,-239.5341,148.46297,0.40049928
2881,-333.29153,20.750965,122.2022,0.59061366
2882,-285.38138,249.49979,157.51799,0.85896486
2883,-212.3064,-21.190348,156.82526,0.5995593
2884,364.56833,199.72531,103.37114,0.5990866
2885,118.6801,-120.75768,117.24482,0.7105858
2886,183.0886,-301.6464,105.69843,0.41115236
2887,-239.84914,44.94615,148.63246,0.8037768
2888,-187.18227,202.21988,108.7906,0.38164154
2889,371.64575,-22.515556,129.3441,0.3761005
2890,301.59628,-44.796635,82.81223,0.82579225
2891,87.87359,233.5489,28.613066,0.6615176
2892,-28.993896,-29.040508,78.32407,0.3997909
2893,-315.84946,-308.66925,127.6873,0.22509016
2894,-242.04526,-306.48016,83.04634,0.6055677
2895,-183.64508,-333.28287,127.31568,0.39619422
2896,-281.4255,-32.674446,139.32884,0.74702644
2897,152.01968,-347.22125,142.5935,0.20092127
2898,102.52007,-321.94156,97.14071,0.8199307
2899,-165.61996,199.70607,67.8599,0.5152147
2900,324.06213,-173.39471,153.1171,0.5930622
2901,177.80461,155.64981,55.91785,0.41217563
2902,-354.88788,-304.14996,111.182144,0.68538606
2903,-351.77536,89.996254,126.65824,0.8392044
2904,-293.78763,374.69836,68.05745,0.7945429
2905,265.27853,-89.19268,109.51187,0.20001797
2906,-30.607449,-124.15502,85.79672,0.597757
2907,-179.05576,-169.32448,111.22468,0.980505
2908,75.16948,247.86067,89.25399,0.4260349
2909,21.377638,392.47058,77.13432,0.62675774
2910,-78.65637,-19.90086,159.12401,0.78887844
2911,36.581245,-308.80173,159.56921,0.32167834
2912,-305.67416,384.74588,149.63794,0.4317339
2913,31.333357,100.015755,146.76237,0.40417808
2914,-344.34427,304.6123,50.045307,0.27284375
2915,-297.06674,-275.4329,41.519966,0.34000897
2916,-165.60818,-231.64658,64.49904,0.8080858
2917,-75.92123,-179.39513,67.63237,0.20283997
2918,119.582825,-351.56766,153.47461,0.90355337
2919,131.51186,203.83058,145.06392,0.19775587
2920,153.826,-287.11383,40.515484,0.26829693
2921,109.341484,-12.624759,122.07293,0.19847693
2922,-101.06364,-108.69864,153.66855,0.22485237
2923,-168.05157,390.1664,138.45671,0.2786949
2924,188.9953,-365.31573,94.480286,0.32604173
2925,-246.57394,190.56288,47.496548,0.4057882
2926,-307.41293,348.2166,118.71875,0.80244
