id,X,Y,M,V
2800,-253.94258,-50.355423,107.69737,0.40743357
2801,320.70135,-273.29712,86.13281,0.4105007
2802,-235.15454,129.9486,29.69306,0.3775153
2803,160.34326,275.53796,27.957535,0.39271057
2804,-147.6093,190.3029,123.80862,0.4088719
2805,248.26134,-143.47746,47.710922,0.61671585
2806,-197.0047,239.41624,113.06444,0.7892424
2807,-210.87672,-316.1443,34.564564,0.80032307
2808,-164.11658,120.32115,174.59798,0.3052155
2809,107.15439,370.95822,48.972954,0.8204145
2810,51.400036,109.757774,115.85301,0.9393733
2811,-207.04898,257.99612,87.82533,0.1954564
2812,216.557,308.13226,99.897896,0.5638201
2813,-26.418518,-7.903525,49.375748,0.21057421
2814,-43.83587,-158.15472,39.56262,0.8419737
2815,-320.36536,-271.36755,103.761345,0.91808367
2816,4.718181,-237.44197,46.63677,0.58697194
2817,-58.933826,-171.15692,163.04796,0.39206448
2818,23.446033,262.39072,72.26786,0.771921
2819,173.09854,-258.8834,136.28462,0.39506477
2820,240.96785,-369.5467,75.024826,0.79382956
2821,-309.44598,-27.970732,93.637474,0.20146464
2822,342.01575,154.90079,41.55466,0.40319684
2823,348.88275,-124.40892,113.54908,0.6197544
2824,297.9503,-322.7406,52.444595,0.9544665
2825,220.95267,-382.71896,55.010788,0.49374086
2826,197.01198,208.48683,59.458225,0.600709
2827,213.60478,203.74527,129.4212,0.4635668
2828,324.79175,145.77379,159.4823,0.7988061
2829,-103.069984,392.06473,89.474884,0.40638733
2830,242.27744,-40.056316,60.369328,0.40523487
2831,-147.9793,154.89235,96.21705,0.91739696
2832,358.02277,-279.32114,42.180775,0.5935652
2833,-362.767,-185.89957,133.29175,0.43444288
2834,213.9595,-310.38602,121.24397,0.9178375
2835,-159.03218,-14.260334,96.84982,0.5991472
2836,-399.5005,285.69016,140.8777,0.39777613
2837,117.58985,391.6985,91.91695,0.33326766
2838,-152.86974,-268.88507,146.66705,0.20066996
2839,-147.48459,321.01337,93.773926,0.47835094
2840,379.34412,239.77621,137.03764,0.5302381
2841,-0.83118725,-277.67365,41.818645,0.5807773
2842,-115.10006,310.53522,164.84886,0.8004655
2843,-388.3469,-280.0225,61.05254,0.40184727
2844,-339.74652,311.1304,98.85687,0.34126195
2845,117.17248,-166.68428,24.243906,0.25798887
2846,135.57484,-316.99542,68.50326,0.20327266
2847,280.60275,-204.0017,102.97954,0.6779081
2848,113.81921,65.13524,156.47017,0.50467426
2849,297.77112,10.766954,151.32054,0.20628187
2850,-320.08408,-23.255117,62.793076,0.2999557
2851,373.99078,-102.921844,92.69093,0.80326265
2852,-342.76926,-201.0,63.91715,0.21280468
2853,365.97964,-279.53336,42.117847,0.5449132
2854,-382.43268,36.0639,116.79159,0.7901067
2855,-267.7626,258.17056,176.54193,0.61409926
2856,-327.64352,-274.94077,144.13512,0.4136363
2857,264.39786,-107.585106,111.35798,0.5940229
2858,-131.83275,176.13025,98.09231,0.7956311
2859,-48.857487,-149.50801,78.94859,0.60197634
2860,-335.29794,118.05733,37.187565,0.235471
2861,361.65643,47.741146,132.91788,0.6047852
2862,70.32012,50.46819,96.25962,0.9291633
2863,-330.21426,322.40945,132.70833,0.6000096
2864,-290.2777,-64.07976,24.342327,0.4317993
2865,398.3413,-271.3328,69.09565,0.7974662
2866,159.852,-83.72857,138.28452,0.5960193
2867,317.95807,187.34995,111.34419,0.40691987
2868,98.24617,-107.370705,61.69148,0.616427
2869,25.141396,88.19018,24.44149,0.7988133
2870,-276.71155,-179.9342,166.24266,0.60907835
2871,-140.87628,8.58853,75.62505,0.20076856
2872,-331.8404,-78.64909,138.88809,0.24181756
2873,126.45027,-389.04044,155.43054,0.5946664
2874,85.74116,-105.58113,115.35183,0.3669438
2875,-145.0359,-307.51855,66.86119,0.9451624
2876,2.1983469,-298.12448,129.42702,0.26042938
2877,195.95604,207.07936,80.633995,0.3749252
2878,-145.79024,-227.82895,24.606928,0.4137145
2879,291.34753,289.41714,77.265884,0.19775082
2880,396.23752,-239.98674,145.29364,0.41468057
2881,-310.39627,18.624699,115.87222,0.60013324
2882,-270.42255,239.826,152.95387,0.8474706
2883,-202.74376,-20.056875,152.46716,0.6091606
2884,362.5161,195.534,105.173355,0.60852045
2885,116.56345,-122.453064,124.13479,0.6457236
2886,180.45769,-298.95425,100.99698,0.414804
2887,-240.06946,40.696667,150.01324,0.78565353
2888,-169.99374,200.95267,107.37475,0.36196715
2889,350.87195,-16.268988,118.2519,0.36420736
2890,292.21115,-41.0405,75.90636,0.8045024
2891,92.80523,224.42577,31.798225,0.6205314
2892,-33.749844,-30.197483,76.75253,0.37910002
2893,-319.37042,-310.31567,128.20537,0.23511682
2894,-229.41322,-311.62973,86.31967,0.5955168
2895,-154.75633,-325.7431,131.12424,0.4006032
2896,-271.49457,-37.117767,130.65468,0.7237203
2897,149.09308,-346.27884,158.49469,0.21349038
2898,101.36416,-308.23007,104.954384,0.8021973
2899,-149.76581,201.27917,62.554874,0.47260526
2900,325.4827,-173.76917,154.09595,0.61382514
2901,175.9438,155.86934,55.12264,0.4044572
2902,-368.19437,-295.28925,111.90948,0.66168314
2903,-326.77557,79.19013,121.930885,0.8628463
2904,-292.2163,374.7236,65.35678,0.7932059
2905,257.43222,-94.64336,109.72434,0.19976543
2906,-37.67957,-132.15166,84.934814,0.60546374
2907,-164.36214,-173.39615,112.894966,0.9408261
2908,68.50087,247.58722,87.15134,0.40749866
2909,32.524242,385.85376,80.768875,0.6471903
2910,-74.928116,-21.823679,160.77448,0.7998625
2911,48.34028,-300.7686,166.27036,0.28894883
2912,-303.5909,376.9262,155.75748,0.42434782
2913,24.401205,104.27152,147.85542,0.4093501
2914,-341.6093,308.34366,51.304554,0.26289964
2915,-287.71375,-287.93375,41.659843,0.295624
2916,-146.0952,-231.79051,63.26476,0.7949476
2917,-82.117676,-188.96104,72.2774,0.20420259
2918,123.05152,-331.72333,158.85657,0.8232037
2919,124.197784,200.88382,145.27496,0.1972218
2920,131.69658,-294.00183,37.840218,0.24902971
2921,96.17308,-8.773557,125.57953,0.19800627
2922,-91.2923,-104.17819,157.2652,0.23465602
2923,-169.36636,378.17676,139.79973,0.27629173
2924,177.90967,-360.4357,95.28008,0.32151437
2925,-238.31166,185.60307,47.154476,0.4070276
2926,-321.7566,335.69653,116.42185,0.78858155
2927,-280.57956,310.0805,91.92921,0.6052993
2928,-360.43213,-137.60484,117.87523,0.25874344
2929,10.928106,346.45734,105.89498,0.5100564
2930,-107.19876,-71.54261,85.81358,0.7974776
2931,-172.58096,320.13318,24.530241,0.7876445
2932,174.75377,314.5657,158.6052,0.60040104
2933,-11.385676,65.06588,171.87903,0.3924495
2934,286.53128,-217.36288,79.84942,0.20481382
2935,-299.00723,-285.95612,85.28945,0.5868727
2936,-192.93373,-294.16992,70.04417,0.40210086
2937,386.05795,-12.292669,41.269325,0.5920273
2938,181.68285,-201.84294,60.7904,0.7964492
2939,-0.5724774,-301.70972,166.74889,0.595056
2940,-262.54993,149.15112,66.51362,0.733975
2941,-224.24153,-50.871853,24.355873,0.3954702
2942,-331.06924,322.83664,136.25964,0.5586688
2943,-368.75824,-219.05594,119.3415,0.80141133
2944,60.594067,235.94403,173.2212,0.44884124
2945,-250.89734,408.40228,130.40053,0.7953401
2946,248.58014,-339.58655,126.69345,0.60364884
2947,19.440157,-323.6546,57.54355,0.7828926
2948,149.13948,274.98117,48.595173,0.20062296
2949,188.70087,355.7475,151.9183,0.60534793
2950,46.32192,131.23984,116.0315,0.5435645
2951,260.00992,398.64453,64.27545,0.6596817
2952,-18.225113,-330.44772,105.53604,0.8437829
2953,138.39197,52.28416,172.68701,0.8037708
2954,203.4985,-317.96545,32.76302,0.6051277
