id,X,Y,M,V
2800,-253.09984,-42.770016,105.777695,0.402529
2801,325.18924,-271.4527,85.66057,0.40911996
2802,-234.79823,118.10917,25.098978,0.3676441
2803,157.11159,260.51117,25.164171,0.38026646
2804,-157.37125,199.60747,122.89605,0.40784907
2805,234.98975,-139.89166,50.77981,0.5948725
2806,-200.85495,229.86775,110.64599,0.80371785
2807,-209.19019,-322.91074,28.407341,0.7940941
2808,-157.84126,102.60851,174.76414,0.33615413
2809,110.13993,350.82104,49.690712,0.9077272
2810,60.61593,107.400154,117.38383,0.91659904
2811,-213.0833,246.95155,86.63858,0.1958153
2812,220.30252,304.74728,100.041954,0.5626196
2813,-27.336353,-6.9697676,49.972595,0.21032158
2814,-39.36879,-148.76949,37.24222,0.90878075
2815,-320.83945,-265.8702,103.67812,0.902001
2816,4.898631,-230.23232,50.68661,0.60562277
2817,-57.329803,-155.40736,162.92587,0.3931933
2818,19.880186,247.99414,66.07439,0.7549079
2819,183.08357,-274.18506,137.73413,0.40154833
2820,244.50963,-372.62332,77.69649,0.7902676
2821,-306.847,-22.38,91.9892,0.1908711
2822,341.6372,152.62675,38.630547,0.41481787
2823,327.7247,-122.83221,113.80914,0.70224446
2824,289.83762,-323.92303,50.156075,0.97210306
2825,223.02988,-378.92612,52.60202,0.5107378
2826,196.94135,201.8712,55.027466,0.62705773
2827,217.6144,185.41328,129.21526,0.5556688
2828,327.54962,140.86134,157.58434,0.76242805
2829,-100.148415,387.8591,87.03355,0.4091459
2830,231.92711,-37.514412,57.953896,0.40547574
2831,-148.14928,140.97392,95.88098,0.88320714
2832,356.98904,-286.07843,47.521366,0.6284739
2833,-381.5799,-190.76486,136.30038,0.4461672
2834,211.65126,-312.81094,126.46759,0.8956112
2835,-160.66803,-1.9048295,99.1398,0.60318875
2836,-388.7691,267.45712,139.1924,0.39805925
2837,115.194725,380.72357,92.72957,0.377766
2838,-143.96094,-264.76727,141.48029,0.19322564
2839,-142.06699,318.1575,93.20131,0.5089677
2840,387.44553,235.15805,135.72556,0.500958
2841,-0.109759346,-275.4215,37.263474,0.59344375
2842,-112.57784,307.68768,163.39288,0.81577384
2843,-391.3381,-277.89114,63.891216,0.40516272
2844,-338.2099,309.5715,99.19433,0.380923
2845,123.40337,-161.35072,25.255407,0.28562778
2846,131.59465,-310.85568,66.26678,0.19683917
2847,276.47238,-206.275,101.25144,0.6665645
2848,115.607796,63.809887,161.67384,0.49902374
2849,296.08932,19.768013,145.06615,0.1901297
2850,-315.7643,-15.591537,59.956066,0.31036976
2851,368.61,-107.24142,91.764626,0.79866976
2852,-344.37512,-197.68507,63.108696,0.20408188
2853,368.56693,-283.82486,41.736744,0.56726676
2854,-389.6939,26.747938,112.44762,0.7669654
2855,-259.23138,247.91928,170.5099,0.59292936
2856,-340.46512,-267.13248,141.56717,0.40854803
2857,256.05084,-108.142784,112.722466,0.5986481
2858,-129.6089,181.56464,95.70673,0.8483912
2859,-37.80223,-138.97171,78.4163,0.60400045
2860,-273.2201,62.68411,29.335993,0.24650425
2861,361.60083,55.074966,132.16418,0.6295916
2862,70.533226,55.142685,99.40484,0.9270725
2863,-326.34338,319.59354,132.56702,0.60217035
2864,-283.04868,-51.77386,25.170984,0.47943386
2865,397.3194,-266.54623,71.94384,0.8302455
2866,161.88231,-79.477,136.76654,0.55754983
2867,315.3112,172.32088,112.3555,0.3982334
2868,102.065285,-106.82046,58.315845,0.61953145
2869,33.714603,85.65196,25.231441,0.8214695
2870,-284.48328,-175.20107,166.98215,0.61578965
2871,-139.19717,18.032143,75.91098,0.19326116
2872,-339.64392,-80.86343,136.61688,0.28363818
2873,121.4753,-390.09207,149.5617,0.6799813
2874,88.51829,-109.250786,112.94443,0.37484565
2875,-153.16048,-313.37372,60.7397,0.95163894
2876,9.175263,-293.8999,130.32375,0.33108798
2877,195.47894,201.67267,80.8114,0.38823712
2878,-139.55074,-234.4545,25.110188,0.46109685
2879,281.10645,273.12027,77.573,0.19667764
2880,392.57062,-234.78055,141.44168,0.41089898
2881,-316.044,17.793566,115.315414,0.5997046
2882,-266.49612,227.02718,151.39021,0.894635
2883,-197.52066,-13.187552,153.21074,0.6076383
2884,357.60162,180.03256,103.03556,0.59294987
2885,119.30558,-123.74005,119.89926,0.68457377
2886,180.15083,-298.6514,101.98457,0.41296443
2887,-244.70511,48.97279,144.8538,0.8341465
2888,-175.72299,207.5538,107.78555,0.3820421
2889,341.27304,-19.4919,116.34799,0.38051924
2890,294.87683,-40.475178,73.266914,0.84648806
2891,89.94528,217.62292,25.185425,0.6854821
2892,-40.5814,-25.69417,77.69137,0.391755
2893,-312.4074,-315.46628,126.72085,0.27497777
2894,-235.49901,-323.55853,84.681175,0.58778447
2895,-163.01454,-332.5847,131.02647,0.40565357
2896,-280.32867,-28.812939,128.73914,0.7199691
2897,152.01161,-348.6921,152.82419,0.20044851
2898,98.51536,-306.15823,102.3294,0.86341006
2899,-154.63885,207.06454,61.863773,0.5782039
2900,313.99622,-165.5446,151.45926,0.61036795
2901,180.64757,149.13771,51.105827,0.4307809
2902,-371.5823,-297.3094,109.54608,0.70005214
2903,-328.79907,81.003235,120.9474,0.84792364
2904,-280.16437,368.1558,63.526493,0.80775124
2905,256.9035,-98.46091,108.80671,0.19068547
2906,-25.921854,-126.339874,85.29969,0.60357594
2907,-158.96446,-171.83661,111.48959,0.94145334
2908,69.68254,244.77856,85.79696,0.43553793
2909,25.66408,371.81168,81.01704,0.62453467
2910,-69.87701,-16.475977,160.69765,0.76067954
2911,51.879135,-293.95624,164.83623,0.32071444
2912,-310.59454,376.9776,152.52939,0.4400266
2913,38.538967,98.84532,147.3598,0.40170905
2914,-332.08905,307.40506,49.56262,0.23091727
2915,-278.01968,-279.5601,48.77467,0.32753158
2916,-132.30869,-238.58408,63.851048,0.7941501
2917,-81.48912,-177.61766,72.77255,0.19479322
2918,115.776505,-345.83673,157.73262,0.8700913
2919,135.4877,194.2465,145.31944,0.19167441
2920,134.55865,-294.88702,33.348286,0.27178538
2921,98.81748,-9.162232,128.2214,0.19157472
2922,-87.46947,-108.04989,156.54723,0.26260135
2923,-170.78314,380.8111,136.22765,0.3189507
2924,181.17441,-365.46094,94.65309,0.38395894
2925,-234.67511,176.50395,50.304924,0.40390736
2926,-306.93115,325.86737,114.11149,0.8098966
2927,-279.8618,299.0342,90.59557,0.60758317
2928,-359.44394,-137.61406,114.97257,0.30843136
2929,10.6368,345.93964,108.286896,0.43476182
2930,-107.64236,-64.82592,85.765854,0.80775714
2931,-150.99257,312.4768,25.193611,0.7773843
2932,179.18364,316.3853,158.6347,0.5888005
