id,X,Y,M,V
2800,-252.67648,-49.509907,104.43656,0.40016264
2801,325.6007,-278.6549,86.59976,0.4006552
2802,-232.62483,122.34112,26.16287,0.39234164
2803,152.83058,270.04587,25.956347,0.3988706
2804,-143.23837,183.71877,121.185425,0.3987262
2805,240.38887,-140.4438,50.462128,0.61318415
2806,-188.55296,227.71013,113.61992,0.79915315
2807,-208.44943,-318.05084,38.614494,0.78783995
2808,-164.0248,108.37376,175.3038,0.3127073
2809,106.1024,354.86356,50.950855,0.8137017
2810,66.39247,102.420074,112.73794,0.90039515
2811,-207.88144,249.40625,84.78398,0.19759576
2812,224.55806,308.5381,101.326675,0.5862515
2813,-18.569157,-4.4302816,51.90505,0.20447727
2814,-44.335827,-148.54024,35.76222,0.8671561
2815,-321.83145,-264.11005,105.04312,0.9232665
2816,4.4492044,-242.0629,51.273365,0.6013773
2817,-60.118855,-159.3614,164.359,0.39705732
2818,22.454147,249.63072,70.7817,0.752805
2819,179.41908,-265.37814,138.67078,0.40396944
2820,232.34976,-372.6914,79.725395,0.8000037
2821,-308.02682,-29.287846,91.24629,0.1984674
2822,353.45987,166.51022,45.602493,0.39818093
2823,344.00977,-128.78885,112.68789,0.64336306
2824,299.15942,-319.35367,52.5522,0.9483741
2825,220.78906,-382.57632,53.7716,0.41468725
2826,199.67035,209.54065,58.853947,0.6077001
2827,224.59715,188.7016,128.2546,0.48475057
2828,344.92603,152.67523,158.96373,0.7928348
2829,-104.15286,387.36453,87.77979,0.3957604
2830,235.38695,-32.00813,57.81268,0.39990646
2831,-147.3422,138.05206,92.76116,0.91932416
2832,352.87808,-274.78778,38.652412,0.6004767
2833,-371.83524,-192.0919,135.3523,0.4030955
2834,212.237,-312.38107,124.181114,0.94465184
2835,-148.0999,-11.368503,100.62943,0.5972714
2836,-391.843,276.42773,142.15529,0.39850053
2837,114.88785,384.76697,92.25459,0.37434465
2838,-142.66689,-264.12738,143.19252,0.19780919
2839,-143.3424,317.9128,94.295784,0.4772029
2840,393.18738,245.14098,133.65884,0.57342124
2841,0.30521423,-276.71494,40.84731,0.60187876
2842,-109.83346,309.06714,161.03456,0.8049759
2843,-390.55405,-282.56143,61.315067,0.3958593
2844,-340.67615,310.01642,99.827614,0.35355762
2845,121.60949,-158.8277,25.407383,0.26705116
2846,139.6318,-320.55792,67.07693,0.2011492
2847,279.456,-206.51091,102.323326,0.6759497
2848,119.71853,59.777546,160.29393,0.5281102
2849,302.4155,19.34401,148.97685,0.20149109
2850,-315.5407,-19.700071,61.034145,0.29870948
2851,381.36118,-107.01845,86.8519,0.8044311
2852,-344.50272,-204.69821,62.42061,0.21128519
2853,366.57874,-279.51233,42.038963,0.54867804
2854,-400.76465,33.178192,112.15862,0.77269214
2855,-259.9921,250.91927,171.82579,0.59310746
2856,-328.24405,-274.55182,139.81006,0.40178666
2857,255.38782,-98.33313,112.842865,0.59743994
2858,-123.96083,164.47163,97.619156,0.8078134
2859,-40.14863,-140.21852,79.85585,0.60088754
2860,-333.9675,114.90622,34.252277,0.23395406
2861,368.81854,62.140743,135.43904,0.6056006
2862,72.38848,53.263515,96.6803,0.93401307
2863,-330.62256,325.4561,136.9963,0.5993253
2864,-279.47406,-59.042053,25.267635,0.40067673
2865,395.39578,-262.35736,67.73745,0.7946465
2866,160.5908,-73.108475,137.4584,0.5972903
2867,325.67056,180.01096,107.74916,0.40018043
2868,101.68063,-110.389435,59.380596,0.6135275
2869,37.92239,85.4354,25.254574,0.81748146
2870,-286.68878,-181.92958,166.4241,0.6024542
2871,-129.48685,6.5953217,74.52121,0.19963302
2872,-337.96484,-83.03486,134.76396,0.2365934
2873,128.16904,-385.96893,156.64484,0.63047904
2874,91.43557,-109.37007,112.06425,0.39240924
2875,-154.30779,-311.8312,69.515976,0.9870006
2876,4.240171,-304.10257,128.61862,0.27807212
2877,200.68147,209.232,81.733795,0.39615768
2878,-143.90259,-224.32982,25.49882,0.39797387
2879,288.16943,285.19495,75.82769,0.197795
2880,386.11722,-235.96776,139.47324,0.39960933
2881,-315.09244,15.725535,116.351036,0.60325575
2882,-267.74747,224.82956,158.02048,0.88458794
2883,-198.51196,-19.85926,156.07867,0.6029926
2884,370.80103,189.67694,102.789055,0.6005424
2885,112.1529,-122.40105,125.59102,0.6584431
2886,182.89609,-302.19553,103.46556,0.3968978
2887,-237.89368,33.891254,147.95314,0.8042551
2888,-164.87553,196.23413,105.8499,0.37885007
2889,355.6088,-15.931586,118.21227,0.3848004
2890,300.17484,-41.405468,74.19398,0.84138626
2891,97.43821,220.45998,25.970638,0.627244
2892,-27.426792,-29.002253,77.41731,0.40003806
2893,-311.9719,-313.13486,127.241714,0.22404979
2894,-229.679,-315.35797,85.890816,0.6151979
2895,-162.633,-330.54037,132.59169,0.40048447
2896,-278.102,-38.530518,130.7056,0.66353416
2897,149.05725,-348.08514,153.03299,0.20815703
2898,103.95141,-316.55124,104.53075,0.81659675
2899,-145.28352,197.17432,60.86273,0.4537197
2900,323.37653,-172.19814,153.08469,0.6056801
2901,180.97453,149.89531,52.64442,0.39583883
2902,-365.4704,-293.9234,109.81639,0.68900627
2903,-329.51968,79.897415,123.640945,0.85866064
2904,-277.86597,372.30457,67.82046,0.7989148
2905,255.6249,-88.0145,107.44464,0.19905968
2906,-24.437677,-129.16675,87.27763,0.60115963
2907,-149.71825,-168.63335,111.16748,0.94762766
2908,67.32527,245.07071,86.016136,0.40171227
2909,25.423735,365.26077,85.94591,0.6040079
2910,-74.464745,-18.729322,162.5364,0.7659558
2911,39.58382,-318.72107,167.25276,0.29523167
2912,-296.9235,377.62537,149.51878,0.40408346
2913,34.357155,97.21004,145.83388,0.39933532
2914,-335.2916,306.04013,52.3669,0.23423882
2915,-278.7827,-284.86526,47.38097,0.3481552
2916,-136.3104,-229.02785,69.169044,0.80038196
2917,-82.89477,-177.09,72.9381,0.20044257
2918,110.19266,-335.62415,162.82951,0.84463143
2919,125.213684,191.13411,144.36472,0.19877657
2920,138.55446,-293.00006,42.539566,0.24600108
2921,100.22147,-7.8105874,124.487206,0.19966081
2922,-92.90848,-109.263275,156.25148,0.21978933
2923,-175.34015,382.49976,136.35638,0.29768237
2924,182.4437,-359.86703,96.58112,0.35256383
2925,-232.49458,173.62123,51.526287,0.4003274
2926,-313.1435,333.31122,114.42565,0.80444527
2927,-282.78644,307.21716,92.387024,0.6036264
2928,-363.4931,-144.3686,116.58155,0.2539406
2929,10.314037,339.06036,102.914154,0.53718793
2930,-106.83121,-66.89413,88.76518,0.80203974
2931,-157.78687,314.21304,25.340933,0.79118276
2932,179.20103,329.61548,159.2175,0.5813987
2933,-10.718539,67.24744,173.05809,0.401453
2934,286.62207,-218.66646,77.371445,0.20344043
2935,-288.2403,-286.30374,83.95159,0.5970982
2936,-192.71622,-298.16263,72.39678,0.3970535
2937,387.76233,-10.342852,36.31589,0.6074331
2938,179.72536,-209.384,62.56111,0.80088997
2939,-2.830383,-300.80322,167.59811,0.5971398
2940,-260.65387,137.72198,67.05419,0.7229444
2941,-214.37637,-52.397205,25.35922,0.39830166
2942,-329.768,325.90335,139.49748,0.50394607
2943,-363.04245,-227.8105,122.93371,0.80240655
2944,61.018215,232.17242,171.90439,0.40400103
2945,-251.15387,398.8338,130.95715,0.79977113
2946,246.4001,-342.69815,128.25502,0.6066399
2947,16.909658,-334.26953,54.061928,0.78899944
2948,143.85968,271.75467,51.234303,0.20049873
2949,200.25311,354.04846,151.3983,0.5947576
2950,53.71357,123.16417,113.86848,0.5878872
2951,263.12875,387.4913,66.85016,0.6602298
2952,-6.094983,-331.75064,109.6744,0.8691402
