id,X,Y,M,V
2800,-254.97069,-52.50318,102.88779,0.40052438
2801,323.9771,-283.98944,85.129456,0.39998853
2802,-236.817,116.98496,27.25071,0.40243733
2803,163.63943,270.46088,25.03179,0.40191028
2804,-149.64651,186.71944,120.68795,0.40077528
2805,238.5437,-142.34195,49.669903,0.5966632
2806,-187.7214,232.65346,105.79268,0.79581434
2807,-209.38971,-317.4124,45.48219,0.7979135
2808,-165.6726,108.36659,171.22226,0.35215065
2809,113.11734,361.5277,49.688194,0.8027313
2810,59.159706,109.345436,113.853935,0.8967903
2811,-212.39185,250.6462,86.300644,0.2002149
2812,218.72147,308.99503,99.3187,0.60428864
2813,-15.312921,-1.433113,49.359722,0.20513071
2814,-46.327435,-141.90094,43.292114,0.86209583
2815,-320.36435,-275.32388,107.07996,0.9227853
2816,10.2143135,-238.40048,49.45819,0.60179263
2817,-61.93845,-160.4403,156.87787,0.3976749
2818,22.339338,245.31607,76.23183,0.7452204
2819,167.0388,-261.88382,132.63199,0.40305582
2820,229.07791,-373.97833,75.78649,0.8011261
2821,-312.75998,-32.57357,89.867325,0.2002829
2822,349.23898,161.21745,42.703053,0.40168014
2823,339.2527,-125.5025,116.86911,0.59989804
2824,295.09305,-321.87653,49.69666,0.9755324
2825,218.05266,-387.0693,50.206657,0.49007562
2826,206.95714,212.81166,55.87635,0.6008459
2827,229.5983,191.4212,127.91244,0.51950437
2828,331.89835,148.5576,155.72112,0.7963201
2829,-105.83886,388.7204,89.41999,0.4042802
2830,237.08109,-28.843016,50.907135,0.4022342
2831,-153.55374,139.07571,93.41433,0.92864406
2832,349.81232,-283.63107,42.150356,0.60412234
2833,-382.9593,-197.2004,131.83203,0.43060833
2834,209.83966,-312.2992,125.03709,0.9324668
2835,-162.44469,-13.360299,100.80657,0.5954919
2836,-398.77277,270.63147,138.08484,0.403054
2837,119.32346,385.2755,94.12069,0.3888463
2838,-141.98698,-266.69373,141.76279,0.19967747
2839,-151.70628,320.30978,96.28844,0.51764005
2840,390.7786,241.86172,135.10963,0.5558963
2841,0.46124968,-274.7639,45.22247,0.59895843
2842,-117.68571,309.34778,162.56499,0.79901826
2843,-388.26202,-282.92776,61.861313,0.40129268
2844,-338.643,302.50162,101.48978,0.38425803
2845,117.12207,-156.593,25.036703,0.27754894
2846,128.01405,-319.02017,72.241066,0.20120959
2847,272.72708,-204.28912,93.6999,0.6212616
2848,120.97305,65.87288,159.22977,0.502836
2849,307.68573,21.676863,146.66454,0.20264584
2850,-323.5352,-21.752941,56.417328,0.33933005
2851,386.02005,-110.229614,89.68393,0.7981208
2852,-345.9423,-204.18723,67.70811,0.21500789
2853,358.74323,-284.03552,43.94412,0.60046417
2854,-402.35794,29.277018,108.0905,0.7865363
2855,-264.02402,249.74149,171.47784,0.60532916
2856,-332.6574,-277.08075,138.55507,0.4022266
2857,251.71172,-98.93256,109.067604,0.6081116
2858,-137.281,168.59436,94.25321,0.79911244
2859,-44.556442,-137.6001,80.38666,0.5990086
2860,-341.34927,107.359985,41.24186,0.24259005
2861,373.76764,58.897686,129.8553,0.5973143
2862,75.58602,50.536766,93.507,0.9155632
2863,-329.00418,321.7767,135.53444,0.5962473
2864,-275.42593,-64.77623,25.073935,0.4231117
2865,398.00235,-270.93982,72.45475,0.8019164
2866,164.50966,-79.98772,131.41016,0.60303414
2867,322.81085,182.42049,109.3088,0.3996272
2868,102.82791,-106.22477,59.782455,0.6043721
2869,29.032663,82.00235,25.061152,0.79858613
